ID,closeness_centrality,betweenness_centrality,group,label
"Kuntner, J.",23481,0,0,34
"Youfeng hao",25367,0,0,34
"Jie Liangk",25367,0,0,34
"Qiusheng Li",25367,0,0,34
"Haiyang Wang",25367,0,0,34
"Yadong Wu",25367,0,0,34
"Samuels, L.R.",44278,1,0,580
"Greevy, R.A.",37408,1375,0,580
"Anreddy, S.",33173,0,0,582
"Song Zhang",26323,1372,0,582
"Mercer, A.",26323,1,0,582
"Dyer, J.",26323,0,0,582
"Swan, J.E.",26323,0,0,582
"Filzmoser, P.",23528,0,0,34
"Aigner, W.",23528,0,0,34
"Rind, A.",23528,0,0,34
"Lammarsch, T.",23528,0,0,34
"Palomo, C.",26746,3,0,592
"Zhan Guo",26746,1,0,592
"Silva, C.T.",23602,3636,0,592
"Freire, J.",26746,0,0,592
"Valdivia, P.",28534,0,0,592
"Dias, F.",28534,0,0,592
"Petronetto, F.",28534,0,0,592
"Nonato, L.G.",28534,0,0,592
"Rensink, R.A.",20677,0,0,9
"Bertini, E.",18828,7032,0,34
"Stusak, S.",36815,0,0,601
"Tabard, A.",29965,1372,0,601
"Sauka, F.",29965,1,0,601
"Khot, R.A.",29965,0,0,601
"Butz, A.",29965,0,0,601
"Wood, J.",19312,2813,0,34
"Isaacs, K.E.",33206,0,0,607
"Bremer, P.-T.",26511,1072,0,34
"Jusufi, I.",26511,1,0,34
"Gamblin, T.",26511,0,0,34
"Bhatele, A.",26511,0,0,34
"Schulz, M.",26511,0,0,34
"Hamann, B.",26511,0,0,34
"Netzel, R.",23239,0,0,34
"McKenna, S.",16894,0,0,34
"Mazur, D.",15585,0,0,34
"Agutter, J.",15585,0,0,34
"Kondo, B.",24961,0,0,631
"Collins, C.",22741,5,0,34
"Gratzl, S.",22226,0,0,31
"Gehlenborg, N.",18708,0,0,34
"Streit, M.",20698,0,0,34
"van der Corput, P.",24315,0,0,34
"Correll, M.",27165,0,0,34
"Goffin, P.",20533,0,0,34
"Willett, W.",20533,0,0,34
"Stolper, C.D.",23563,0,0,631
"Kahng, M.",22793,0,0,631
"Zhiyuan Lin",22793,0,0,631
"Foerster, F.",22793,0,0,631
"Goel, A.",22793,0,0,631
"Stasko, J.",18110,13456,0,34
"Weiwei Cui",31059,0,0,34
"Zhuofeng Wu",29651,0,0,34
"Hao Wei",29651,0,0,34
"Donghao Ren",24264,0,0,34
"Hollerer, T.",21508,0,0,34
"Demiralp, C.D.",17038,0,0,34
"Bernstein, M.S.",15984,0,0,34
"Jaemin Jo",30564,0,0,34
"Jaeseok Huh",24331,164,0,34
"Jonghun Park",24331,1,0,34
"Bohyoung Kim",24331,0,0,34
"Jinwook Seo",24331,0,0,34
"Palmas, G.",23185,0,0,34
"Bachynskyi, M.",21052,0,0,34
"Oulasvirta, A.",21052,0,0,34
"Beecham, R.",19062,0,0,34
"Al-Awami, A.",22222,0,0,34
"Duarte, F.S.L.G.",44569,0,0,650
"Sikansi, F.",37719,1372,0,650
"Fatore, F.M.",37719,1,0,650
"Fadel, S.G.",37719,0,0,650
"Paulovich, F.V.",37719,0,0,650
"Saket, B.",27889,0,0,9
"Kobourov, S.",25927,0,0,9
"Borner, K.",25927,0,0,9
"Sadana, R.",21094,0,0,34
"Major, T.",19556,0,0,34
"Dove, A.",19556,0,0,34
"Dearden, J.",28018,0,0,34
"Diansheng Guo",34264,1,0,662
"Xi Zhu",27394,1375,0,662
"Ingram, S.",21447,0,0,65
"Stray, J.",21447,0,0,65
"Zgraggen, E.",21526,0,0,34
"Zeleznik, R.",21526,0,0,34
"Harrison, L.",18274,0,0,9
"Fumeng Yang",17570,0,0,9
"Franconeri, S.",17439,282,0,9
"Bae, J.",27486,1,0,34
"Watson, B.",23316,19,0,34
"van Goethem, A.",26102,0,0,34
"Reimer, A.",25060,37,0,34
"Speckmann, B.",25060,1,0,34
"Polk, T.",31713,0,0,529
"Yueqi Hu",28764,0,0,529
"Zhicheng Liu",17196,0,0,34
"Fuchs, J.",23422,0,0,34
"Bezerianos, A.",21993,0,0,34
"Pandey, A.V.",24998,0,0,34
"Manivannan, A.",23096,0,0,34
"Nov, O.",23096,0,0,34
"Satterthwaite, M.",23096,0,0,34
"Gramazio, C.C.",23565,0,0,34
"Schloss, K.B.",21782,0,0,34
"Tennekes, M.",30291,1,0,34
"de Jonge, E.",30291,1,0,34
"Vuillemot, R.",20855,0,0,34
